seq,sample,rel_ab,Kingdom,Phylum,Class,Order,Family,Genus,Species,date,media,timepoint,notes
63f37ee4b481fccdffca10160ed5b944,c_A,14.366117550000002,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,-16,"innoculum, from Stickney"
63f37ee4b481fccdffca10160ed5b944,c_B,9.288377371,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,0,restart innoculum (accidentally burst new membranes and had to start over)
63f37ee4b481fccdffca10160ed5b944,c_D,5.952615992,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,21,
63f37ee4b481fccdffca10160ed5b944,c_E,4.291325696,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,35,some biomass from orignal innoculum added to the reactor day 31
63f37ee4b481fccdffca10160ed5b944,c_F,3.842406528,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,49,
63f37ee4b481fccdffca10160ed5b944,c_G,2.636571171,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,63,
63f37ee4b481fccdffca10160ed5b944,c_H,7.887793901000001,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,67,
63f37ee4b481fccdffca10160ed5b944,c_I,3.884374817,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,79,
63f37ee4b481fccdffca10160ed5b944,c_J,2.355964875,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,91,
63f37ee4b481fccdffca10160ed5b944,c_K,11.43056659,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,105,
63f37ee4b481fccdffca10160ed5b944,c_Kb,9.890893378,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,105,biofilm
63f37ee4b481fccdffca10160ed5b944,c_L,7.866108786999999,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,119,
63f37ee4b481fccdffca10160ed5b944,c_M,16.88209176,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,135,
63f37ee4b481fccdffca10160ed5b944,c_Nb,15.68216463,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,149,"biofilm, no suspended available"
63f37ee4b481fccdffca10160ed5b944,c_O,18.95822726,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,161,
63f37ee4b481fccdffca10160ed5b944,c_Ob,18.5708055,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,161,biofilm
63f37ee4b481fccdffca10160ed5b944,c_P,18.73511763,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,175,
63f37ee4b481fccdffca10160ed5b944,c_Pb,18.71538753,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,175,biofilm
63f37ee4b481fccdffca10160ed5b944,c_Q,24.95716308,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,189,
63f37ee4b481fccdffca10160ed5b944,c_Qb,23.04689348,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,189,biofilm
63f37ee4b481fccdffca10160ed5b944,c_S,24.555265,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,203,
63f37ee4b481fccdffca10160ed5b944,c_Sb,25.70255836,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,203,biofilm
63f37ee4b481fccdffca10160ed5b944,c_T,19.25490666,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,217,
63f37ee4b481fccdffca10160ed5b944,c_Tb,19.54740292,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,217,biofilm
63f37ee4b481fccdffca10160ed5b944,c_U,28.28767309,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,231,
63f37ee4b481fccdffca10160ed5b944,c_V,23.04062372,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,260,
63f37ee4b481fccdffca10160ed5b944,c_W,20.27338774,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,273,
63f37ee4b481fccdffca10160ed5b944,c_Wb,17.06295171,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,273,biofilm
63f37ee4b481fccdffca10160ed5b944,c_X,18.85642765,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,,,,,287,
